,,,,Independent Variable Independent Variable camera,Independent Variable Independent Variable comments_video,Independent Variable Independent Variable family,Independent Variable Independent Variable id,Independent Variable Independent Variable Missed samples %,Independent Variable Independent Variable Recording after,Independent Variable Independent Variable start (s),Independent Variable Independent Variable Subject not found %,Independent Variable Independent Variable Video file,Independent Variable Independent Variable week,Distance moved center-point Total cm,Velocity center-point Mean cm/s,Movement Moving / center-point Cumulative Duration s,Movement Not Moving / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration %,In zone blank / center-point Cumulative Duration s,In zone blank / center-point Cumulative Duration %,Mobility Body fill Mean %,Mobility state Highly mobile Cumulative Duration s,Mobility state Mobile Cumulative Duration s,Mobility state Immobile Cumulative Duration s
5 minutes,Trial     1,Arena 1,In cue,A,spider was on the walls sometimes,BS3,S3_01,0.0 %,+ 00:04:50.073,290,9.8 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"20,8872","0,510952","24,5594","19,9195","46,7988","7,79792",0,0,"37,1749","7,11982","34,7191","2,71993"
5 minutes,Trial     1,Arena 1,In blank,A,spider was on the walls sometimes,BS3,S3_01,0.0 %,+ 00:04:50.073,290,9.8 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"37,3561","0,188216","82,5579","115,917",0,0,"198,555","33,0845","22,1498","6,07985","183,035","9,35977"
5 minutes,Trial     1,Arena 2,In cue,A,spider was on the walls sometimes,BS4,S4_01,0.0 %,+ 00:04:50.073,290,2.1 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"39,1481","0,284183","53,5987","85,5179","140,396","23,3938",0,0,"18,1934","5,35987","98,7175","35,3591"
5 minutes,Trial     1,Arena 2,In blank,A,spider was on the walls sometimes,BS4,S4_01,0.0 %,+ 00:04:50.073,290,2.1 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"28,2642","0,183825","53,9187","100,877",0,0,"155,356","25,8864","15,7367","3,11992","110,717","40,959"
5 minutes,Trial     1,Arena 3,In cue,A,spider was on the walls a long time,BQ1,Q1_01,0.0 %,+ 00:04:50.073,290,17.1 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"32,8388","0,122536","39,999","232,954","279,033","46,4943",0,0,"12,3745","2,71993","242,074","28,7193"
5 minutes,Trial     1,Arena 3,In blank,A,spider was on the walls a long time,BQ1,Q1_01,0.0 %,+ 00:04:50.073,290,17.1 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"5,49692","1,12645","3,8399","1,83995",0,0,"8,55979","1,42629","27,962","0,719982","4,79988","0,159996"
5 minutes,Trial     1,Arena 4,In cue,A,spider was on the walls sometimes,M1,M1_01,0.0 %,+ 00:04:50.073,290,0.5 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"17,8078","0,167119","22,9594","83,5979","106,637","17,7686",0,0,"16,5409","4,23989","91,1977","11,1197"
5 minutes,Trial     1,Arena 4,In blank,A,spider was on the walls sometimes,M1,M1_01,0.0 %,+ 00:04:50.073,290,0.5 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"12,9862","0,0681777","34,1591","156,556",0,0,"190,795","31,7915","22,2668","1,67996","175,196","13,8397"
5 minutes,Trial     1,Arena 5,In cue,A,spider was on the walls a long time,BQ3,BQ3_07,0.0 %,+ 00:04:50.073,290,55.9 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"191,788","2,12914","51,0387","53,1987","127,917","21,3143",0,0,"26,411","18,7995","61,4385","24,0794"
5 minutes,Trial     1,Arena 5,In blank,A,spider was on the walls a long time,BQ3,BQ3_07,0.0 %,+ 00:04:50.073,290,55.9 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"31,3351","0,515392","21,0395","43,0389",0,0,"70,7982","11,7969","14,667","4,71988","40,799","18,5595"
5 minutes,Trial     1,Arena 6,In cue,A,nc,BM2,BM2_01,0.0 %,+ 00:04:50.073,290,0.1 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"17,4621","0,0716855","57,9985","185,595","243,594","40,5892",0,0,"10,2789",0,"165,756","77,8381"
5 minutes,Trial     1,Arena 6,In blank,A,nc,BM2,BM2_01,0.0 %,+ 00:04:50.073,290,0.1 %,F:\Pisaura UWI Projekt\A\DCIM\168RDPHH\S1680001.MP4,1,"7,0585","0,125154","15,7596","40,639",0,0,"56,4786","9,41082","11,2473","0,079998","28,8793","27,4393"
5 minutes,Trial     2,Arena 1,In cue,B,"spider didn't move at all, remained on the cue side",BS8,S8_01,0.0 %,+ 00:05:00.072,300,99.9 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     2,Arena 1,In blank,B,"spider didn't move at all, remained on the cue side",BS8,S8_01,0.0 %,+ 00:05:00.072,300,99.9 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     2,Arena 2,In cue,B,spider was on the walls sometimes,BS6,S6_01,0.0 %,+ 00:05:00.072,300,20.2 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"39,3205","0,273522","50,1587","99,2775","151,756","25,2866",0,0,"18,9499","7,43981","124,717","17,5996"
5 minutes,Trial     2,Arena 2,In blank,B,spider was on the walls sometimes,BS6,S6_01,0.0 %,+ 00:05:00.072,300,20.2 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"29,1512","0,497812","23,3594","37,3591",0,0,"61,4385","10,2373","25,2885","7,75981","44,1589","8,79978"
5 minutes,Trial     2,Arena 3,In cue,B,spider was on the walls sometimes,BL2,BL2_01,0.0 %,+ 00:05:00.072,300,43.1 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"14,6614","0,105268","25,0394","116,077","142,076","23,6737",0,0,"11,9165","1,75996","116,077","23,3594"
5 minutes,Trial     2,Arena 3,In blank,B,spider was on the walls sometimes,BL2,BL2_01,0.0 %,+ 00:05:00.072,300,43.1 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"24,1418","0,293846","33,1192","54,3186",0,0,"90,4777","15,076","18,9768","4,63988","65,9984","16,9596"
5 minutes,Trial     2,Arena 4,In cue,B,nc,BS11,BS11_01,0.0 %,+ 00:05:00.072,300,3.2 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"30,7981","0,130992","42,8789","197,115","241,514","40,2426",0,0,"11,6352","4,79988","190,155","45,0389"
