family	id	date_sampled	Camera	round	day_test	date_test	age_test	length_mm_1	pr_width_mm_1	weight_mg_1	length_mm_2	pr_width_mm_2	weight_mg_2	boldness	activity	date_death	no_legs	comments	side_start	t_on_start side	side_opp.	t_on_opp_side	t_on_B	t_on_C	Sidechanges
BS3	S3_01	26/06/19	A	1	1	08/07/19	12	1,7	0,7	0,58	2,5	0,9	1,63	571	39		all	nc	B	498	C	102	498	102	6
BS4	S4_01	26/06/19	A	1	1	08/07/19	12	1,8	0,7	0,71	2,5	1	1,99	582	15		all	nc	C	261	B	339	339	261	9
BQ1	Q1_01	26/06/19	A	1	1	08/07/19	12	1,8	0,8		NA	NA	NA	528	15	09/07/19	all	nc	C	449	B	151	151	449	3
BM1	M1_01	26/06/19	A	1	1	08/07/19	12	1,8	0,8	0,78	3	1,1	2,49	576	8		all	nc	C	106	B	494	494	106	1
BQ3	BQ3_07	26/06/19	A	1	1	08/07/19	12	1,9	0,8		2,7	1	1,69	582	2		all	nc	C	541	B	59	59	541	2
BM2	BM2_01	26/06/19	A	1	1	08/07/19	12	1,8	0,8		NA	NA	NA	245	4	09/07/19	all	nc	B	56	C	544	56	544	1
BS8	S8_01	26/06/19	B	1	1	08/07/19	12	1,9	0,8	0,9	2,3	0,8	1,34	469	7		all	nc	C	600	B	0	0	600	0
BS6	S6_01	26/06/19	B	1	1	08/07/19	12	1,8	0,7		NA	NA	NA	547	11		all	nc	B	473	C	127	473	127	11
BL2	BL2_01	26/06/19	B	1	1	08/07/19	12	1,7	0,7	0,49	2,6	0,9	1,95	0	0		all	nc	B	382	C	218	382	218	4
BS11	BS11_01	26/06/19	B	1	1	08/07/19	12	1,9	0,7		NA	NA	NA	520	8		all	nc	B	47	C	553	47	553	1
BS7	S7_01	26/06/19	B	1	1	08/07/19	12	1,8	0,8	0,74	2,5	0,9	1,79	566	16		all	nc	B	85	C	515	85	515	8
BS9	S9_01	26/06/19	B	1	1	08/07/19	12	1,7	0,7	0,52	2,7	0,8	1,67	495	17		all	nc	B	351	C	249	351	249	9
BL2	BL2_03	26/06/19	A	2	1	08/07/19	12	1,8	0,7		NA	NA	NA	595	20	Escape	all	nc	B	600	C	0	600	0	0
BS4	S4_02	26/06/19	A	2	1	08/07/19	12	1,8	0,8	0,67	2,9	1	2,3	572	29		all	nc	C	355	B	245	245	355	6
BM1	M1_02	26/06/19	A	2	1	08/07/19	12	1,8	0,8	0,57	2,2	0,8	1,49	593	5		all	nc	C	150	B	450	450	150	6
BS9	S9_02	26/06/19	A	2	1	08/07/19	12	1,9	0,7	0,79	2,8	0,9	2,39	595	15		all	nc	B	143	C	457	143	457	1
BS6	S6_03	26/06/19	A	2	1	08/07/19	12	1,8	0,7	0,73	2,5	0,9	2,52	584	44		all	nc	B	573	C	27	573	27	7
BS8	S8_02	26/06/19	A	2	1	08/07/19	12	1,7	0,7	0,53	2,5	0,9	1,52	599	9		all	nc	C	460	B	140	140	460	2
BQ3	BQ3_02	26/06/19	B	2	1	08/07/19	12	1,8	0,7	0,61	2,6	0,9	1,61	595	6		all	nc	B	341	C	259	341	259	1
BS7	S7_02	26/06/19	B	2	1	08/07/19	12	1,9	0,7	0,79	3	1,1	2,48	593	23		all	nc	C	404	B	196	196	404	3
BM2	BM2_02	26/06/19	B	2	1	08/07/19	12	1,8	0,8	0,58	2,4	0,8	1,14	584	44		all	nc	C	451	B	149	149	451	4
BS11	BS11_02	26/06/19	B	2	1	08/07/19	12	1,8	0,7	0,69	2,2	0,8	1,42	592	38		all	nc	B	440	C	160	440	160	19
BQ1	Q1_02	26/06/19	B	2	1	08/07/19	12	1,8	0,8	0,66	2,6	0,9	1,94	490	27		all	nc	B	595	C	5	595	5	1
BS3	S3_02	26/06/19	B	2	1	08/07/19	12	1,7	0,7	0,73	2,4	0,8	1,33	594	8		all	nc	B	276	C	324	276	324	5
BQ1	Q1_03	26/06/19	A	3	1	08/07/19	12	1,8	0,8		NA	NA	NA	271	4		all	nc	B	0	C	600	0	600	
BS8	S8_03	26/06/19	A	3	1	08/07/19	12	1,7	0,7	0,69	2,7	0,9	2,02	152	11		all	nc	B	0	C	600	0	600	
BL2	BL2_05	26/06/19	A	3	1	08/07/19	12	1,8	0,8	0,66	2,9	1	1,94	538	3		all	nc	B	0	C	600	0	600	
